storyid,storytitle,sentence1,sentence2,sentence3,sentence4,sentence5
5cb02344-91d9-4eb3-9594-51d320c7316c,Remember,Marion had traveled a lot in her life.,"So when she died, she had a lot of memorabilia in her house.",Her kids gave most of it to different museums.,They gave the rest to charity.,But they kept one item each to remember her by.
f401ff27-b91f-45e8-8275-3cc34b4142f0,Clothes,I was at a rock concert.,The lead singer threw free shirts to the audience.,Unfortunately mine was too big.,I saw a guy that had one that was too small.,We exchanged shirts and were very happy.
e8983cde-adc6-4fa5-bf2a-18dfad633992,Science Fair,Kenny entered his school's science fair.,He did an experiment and recorded the results.,He took his results and made a poster out of them.,He used this poster to explain his project.,"To his surprise, he won second place in the science fair!"
503b3250-8158-4674-941e-78c39faff800,The Crazy Cat,Larry had a cat that was very stressed out and aggressive.,"He went to his friend Kenneth, a cat expert, to figure out what to do.",Kenneth gave him a calming pheromone spray to use.,Larry sprayed the pheromone spray all over his house.,His cat became much more calm and friendly because of it.
18242a8e-7e9e-4748-a1df-009bf0da437c,The lost food.,Sara had to carry her groceries home.,"When she got home, she realized her cheese was gone.",She traced her steps outside.,"Luckily, she found the cheese down the road.",She picked it up and brought it home.
4c2ed415-a22c-4e72-a411-f13f541cbeb2,Twins,"Amy and Ann were identical twins, and very close.",They loved switching places and pulling tricks on people.,"Ann was bad at math, and begged Amy to take an important test for her.","Amy aced the test, but unfortunately they were caught and punished.",The twins learned to keep their switching antics out of the classroom.
99845807-5a87-42c1-898c-6cdb59e90ec0,Board Games,My friends and I decided to play Monopoly.,It was a close game.,We got into a few minor arguments.,Eventually I won,Unfortunately nobody else agreed.
1c4a7515-445c-41ba-a1f3-edb77d5685dd,Pot,"My daughter works at an RMV in Revere, Massachusetts",Last week a policeman assigned to the RMV saw a car in the lot.,He was suspicious and approached the car.,The driver was dealing pot in the parking lot.,The policeman arrested the driver.
8e374fcf-28aa-424b-850c-e1cdc2c80e29,Canyoneering,Tom visited the Grand Canyon.,He blazed his own trail and ventured down into the canyon.,He found the most amazing red and yellow rock.,"He carried the rock back out of the canyon, to his home.","He loves admiring the rock in his home, and recalling the memory."
c7cceff2-0a31-44c1-8446-2a5221200bb9,Wrong turn.,Esther was on her way to downtown LA.,"She took the wrong exit a little too east, ending up in Compton.",She was clearly lost.,Esther was just way too stubborn to ask for directions.,So now she lives with Ray J in a Trap House.
a34923ce-b4c3-403e-abf0-d17ecf2f5cde,Balloon Festival,John loved hot air balloons.,He noticed a flyer advertising a local hot air balloon festival.,A few days later he went to the festival.,There was probably 100 hot air balloons there!,John had a really great time.
2358e94b-d879-4a51-aad6-96b1b6590301,Customer Support,Tim hated working his job as a customer support representative.,He was especially busy today and late on his work.,He had received a call from a woman upset about her laptop.,She was furious and cursed him over the phone.,Tim escalated the situation to his manager who refunded the woman.
b8781eff-1fcc-47fb-877a-deba7d369915,Tanya's Kitten,Tanya always wanted a kitten.,"One day, she saw a lonely kitty walking alone.",She brought the kitten home and named it Chloe.,Tanya's parents let her keep Chloe as long as Tanya took care of her.,Tanya loved Chloe very much and they became best friends.
650d7a3b-f4c0-40d8-ba90-fd3b33c863d5,Found new song,I was listening to the radio today.,All the sudden I hear something I like.,So I asked Siri to identify the song.,Luckily she did.,I then went on to purchase it.
ea381040-b9fd-479a-86c5-074487fdc84f,Pink Background,I changed my computer background.,I wanted something light and girly.,I wanted something that didn't remind me of my husband.,I chose a pink background with sparkles.,I set it to my background and lock screen.
cc7e929c-e197-4332-ac7e-dfaaa46d774c,The Pipeline,The activists were protesting.,A new pipeline was coming into the area.,The activists were worried about the environmental impact.,They carried signs and chanted.,The police showed up and arrested them all.
4660dc10-64a1-4234-8481-9e0388cfcd21,Science Test,Josh has a science test tomorrow.,He pulled an allnighter so he could be ready.,"When he got to class, his teacher decided it was open notes.",Josh was relieved.,He ended up making an A on his test.
8e35cf67-c570-4243-806d-fe4b0282c5b4,Tissue,His nose was running and he felt so sick.,He thought he had tissues at his desk but they were gone.,He decided to ask a coworker for one.,He slowly walked over to ask for help.,She provided him with a box of tissues and some throat drops.
8644ac42-7b77-43a5-8f5a-e517fb08ef16,The Concert,One day Sally went to a concert for Twenty One Pilots.,First she found her seat.,Then the opening act played.,Finally Twenty One Pilots came on stage!,She had a great time.
89fc3af4-5e8e-4066-9efa-80a6fce01913,Past vs Future,We are taught many things about our history in school.,Some teachers proclaim we have learned from our mistakes of the past.,Others say that we are bound to repeat them over again.,There's really no guarantee that we will ever learn.,Hopefully our future will show that we have.
0440d713-98c7-494a-9021-98750467a5f9,Tumbling Down,Tim was hiking up a mountain with friends.,He wasn't paying attention and lost his footing.,Tim tumbled down down for a few yards.,He was severely hurt.,Tim's friends had to call for help and carry him.
432d104f-e949-456d-ba12-21f3ba7f9abc,Day Off,Frank had the day off from work.,He decided he was going to sleep in.,He stayed in bed and didn't look at the clock for hours.,"Finally, he checked and it was already three o'clock in the afternoon.",Frank then regretted that he wasted most of his day off in bed.
c8fce360-c2ba-4f14-af34-a114c862f764,Loose Lid,Pat sat down to eat some french fries.,He grabbed the salt shaker to salt his fries.,The lid came off mid-shake.,The fries were covered in salt.,He brushed them off and ate them anyway.
f3efcaba-762b-4de6-a3fe-258074c589ce,Talk,The man talked to his friend.,His friend expressed frustration.,The man sought to help his friend.,His friend remained frustrated.,The man decided his friends temperament was frustrated.
b8fd27dc-acbc-4251-a183-fc748e5e7d4f,The Dirty Table,Jan went to eat at a fast food restaurant.,There was only one table empty.,The empty table was filthy.,Jan grabbed a stack of napkins.,She cleaned the table off before sitting.
8187fdf3-3b43-4bb4-96b6-88532335f366,nervous,A poor man was nervous at hollywood party.,He went up to a famous person and asked a question.,He asked about who the famous person would like to meet.,This opened up a topic for conversation as the answer as unique.,They had a great conversation and the poor man was not nervous again.
223b28c4-0ff4-4610-b519-eee52b7f5630,Thanksgiving,Thanksgiving was always special with our family.,We would go to Mass in the morning.,Then head to our cousins in the afternoon.,"We would play football, and eat lots of good food.",We would then have to spend the whole next day resting.
29d0c6f2-2f8f-4411-bf99-5918610d7160,Fear of Alleys,Desmond was afraid of alleyways.,He resolved to change his commute to avoid passing too many alleys.,This caused his commute to lengthen by over 30 minutes.,Desmond consulted a friend about what to do.,The friend helped Desmond overcome his fear of alleys.
cb5978f7-5a93-49a6-889a-dfd468c058e9,Wild Boys,Lana was friends with Rick and Jeb in high school.,Rick and Jeb were considered wild boys.,One day they left the school at lunchtime in Jeb's car.,Jeb and Rick were involved in a serious car crash.,Lana was upset when she heard Jeb and Rick were hurt.
f8dbc738-251e-4523-87ab-a4b288904290,Birthday or Job,Jim is thrilled when he gets an amazing job offer.,But he is in a bind when they tell him they need him to start today.,It's his girlfriend's birthday and he had a party planned for her.,He takes the job anyway.,His girlfriend is so angry that she dumps him.
1ad6da4f-4cbb-4e5b-87e2-74a1e8eec872,Beginner,Nellie always wanted to learn how to sing.,She signed up for a group singing class.,"During the vocal exercises, she realized she was very out of tune.",The teacher coached her and gave her encouragement.,Nellie let go of her self-consciousness and gradually improved.
ba9ce84a-f2ce-44a7-a297-f461f5444885,Hurricane,Jess lived on the beach.,He had been watching the weather and knew a hurricane was coming.,He boarded up his house and took other precautions.,"Right before the hurricane, Jess decided to evacuate.",He was lucky he got out when he did.
356e041e-e9ad-462b-8c2a-6c43ad0271ac,Tim's Charity Trumpet,Tim played his trumpet for several years.,All the people in his town loved to hear Tim play.,"Tim's longtime teacher became sick, and needed money for medical help.",Tim came up with a marvelous idea.,"Tim played a charity music event, and donated funds to his teacher."
14f21fc1-2503-4697-b7cb-be7dd7970d92,Divorce,Ian found out that Glady cheated on her.,She talked to him and asked to overlook her infidelity.,He wasn't convinced and arranged a divorce.,"Since he was the family's breadwinner, he won sole custody of the kids.",Glady lived by herself in a small apartment.
96fbe086-8819-4008-b512-ccf5538adc70,The Concert,Manny loved a band that was coming into town last weekend.,He saved up for weeks to buy tickets well in advance.,He got great seats and went with some friends.,The show was great and he had a really good time.,He hopes they come back soon so that he could see them again.
00decf0e-c5ec-429b-bd57-cf0b58dd3008,Unanticipated Showers,Jamie was walking home from the library.,It was sunny when she started walking.,"Eventually, it started to rain.",She didn't have an umbrella so she hid under an awning.,When it stopped she continued walking.
9d038dc0-6300-4a04-8a9e-0ba0bcfd4179,Slug Bug,I was walking to the christmas parade when I was twelve.,"My friend and I had just about made it, one final street to cross.",All of a sudden a VW beetle comes out of nowhere and hits me.,I roll up on the windshield then roll back off onto my feet.,"Fractured ankle and concussion, I still went to the Christmas parade."
693be48c-1cb5-4859-8dfe-22e5cc090845,Speed Chess Choke,I was playing a game of 5 minute speed chess.,My rating was 1300 and my opponent's was 1175.,My opponent was winning on material advantage.,Suddenly under time pressure he started making mistakes.,He lost on time in the end.
811ecc1c-25e6-42f2-85dc-9c15187868d7,Flip of a coin,My wife and I can never decide where to eat for dinner.,One night we drew names from a hat and flipped a coin.,We drove to the restaurant that fate had selected for us.,We had the worst meal either one of us could ever remember.,We don't flip coins for restaurants any more.
3e909616-2e21-4445-9c2d-8d1aae8e829c,Shocked on stage,Kelsi suffered from stage fright.,She was worried about being in the school play.,When rehearsal came she forgot her lines.,She just stood there.,She wished she wasn't in the play.
6205d95f-a79e-494c-8acb-6d6423fee45f,Coffee,Alice wanted a cup of coffee.,She went to the local Starbucks.,She order a cup of coffee and donuts.,On her way home she spilled the hot coffee on herself.,Alice spent two hours in the hospital treating coffee burns.
3c3c8f1d-674c-42ae-a0e7-a3d1f3e2f7e4,On Sale,Rick was searching for a bicycle helmet.,But he didn't want to settle for something cheap.,He saw an expensive helmet on sale.,And he bought it right away.,Rick was happy about how much money he saved.
5294aeb0-3afa-47fa-acb9-5258c35ec454,Store closing,Allie loved the store Delias.,She shopped there everyday.,To her dismay she found out the store was closing.,She was devastated.,She had to find a new store.
ed5299e0-f4b4-42dd-9f55-58d9cc4b4a0a,Odd Friends,"A Jew, a Muslim, and a Christian walk into a bar.",They all hit their heads.,They go to the store together to buy Tylenol.,The store owner thinks they are strange friends.,They decide to stop wearing blindfolds when walking around town.
a22ec306-1923-4260-8b07-1b7dd765452b,Chess,On Sunday I played speed chess online with my friend George.,I lost the first game and won the second.,I was winning the third game when the chess server went down.,"We started a new game, which I also won.",George said he would play tomorrow.
ea0e917f-bc13-4974-aa42-3b8af50b419f,right recipes,Paul was the head chef at a restaurant.,His cooks weren't making the recipes like they were supposed to be.,They were just making Paul's recipes as they wished.,He wrote down all of his recipes for them.,They now make the recipes right.
bb8d7af6-93cd-4042-ab3a-9b49860d0f84,All-Nighters,One time I had a huge work deadline due within a few days.,It looked like I wasn't going to finish in time.,I bought a really intense energy drink.,I drank it all and end up not sleeping for two days straight.,I got all of the work done.
8ed92f8e-4760-49b1-beb6-25ddf70204ff,Turkey,Liz was a vegetarian because she liked all animals with faces.,Liz went to her favorite vegan restaurant early in the morning.,The restaurant was closed so she went next door.,Liz was upset they didn't have any vegetarian meals.,Liz ended up getting a turkey sandwich that day.
b2e37d78-b102-43d3-9fea-f89dc905cc80,Roast Goose,Ana had always been morally opposed to hunting for sport.,"But her poor family lived in the hills, and her dad often hunted food!",One day he took her out with him to shoot a goose for dinner.,They took their goose home and Ana watched her mom prepare it.,"As they ate the roast goose, Ana decided that hunting for food was OK."
92f89fe9-cddc-4b40-9f7e-feba1f646487,Poor Lorna,Lorna met the man of her dreams in a Hollywood bar.,They soon moved in together.,The man wanted to be a musician.,She worked while he formed a band and played gigs.,"When he became famous, he moved out and left her behind."
962caed9-d6cc-49aa-9ee3-a1cfc5d155c8,Teacher,Nina wanted to become a teacher for middle school.,She wasn't completely sure how to go about becoming that.,Nina started looking into the training needed.,She decided on a set class schedule for herself.,Nina eventually became a teacher after years of training!
f25dbc19-8a84-4963-8965-50805fa5eecc,True Love,Gretchen had fallen in love with her boyfriend.,She was scared to admit it however.,"One evening, her boyfriend got very drunk.","As he laid on the sofa eating fries, he told Gretchen he loved her.",Gretchen reciprocated the following morning.
49d8bb60-b65e-474b-b627-a52a7417d257,Lost Keys,Kya lost her car keys.,She looked all over her house.,She was afraid she'd be late for work.,Then she finally found them - in her front pocket!,Kya shook her head at her own silliness.
d56d34f7-e8e9-4ecf-b4a8-db3f1c5dbd3e,No Walk,Lucy decided to go for a walk hoping to cure her boredom.,At the end of the block her grandmother's voice called her back.,She turned to see her grandma standing on the sidewalk.,Lucy turned around and went to her.,Grandma wouldn't let her go on a walk for fear she would get lost.
d0691137-d5ca-46f7-b034-717aaec551af,Random Incident,My cousin had a birthday party at the park with our family.,"After she blew her candles, everyone started to eat.","When everyone was relaxing for a few minutes, the table broke.",It snapped in half and all of the food went on the floor.,I decided to clean it up immediately.
fedb1b17-411d-4c00-879e-61576828aff4,The Letter,Before my friend James died he wrote a letter.,He told me he was sending it the next day.,I believe he died before he sent it.,I searched his apartment up and down to find it.,When I did I found out it was addressed to me saying he loved me.
57c6bcf8-3c40-4e9e-aebc-9d72f3450360,Kissing Anna,I met a girl named Anna.,We talked for hours about life.,We went for a walk.,She said I was one of the nicest guy she's met.,She kissed me out of nowhere.
b68bc88c-bd43-4187-9ba2-6242a459c7ca,Busted Tail Light,Tom was driving at night.,He was pulled over by the cops.,Tom didn't know why.,They told him his tail light was out.,Tom was given a ticket and told to fix it.
1541e6c4-1b98-4bd2-955e-bb034da9873f,Skatepark,The city proposed a skate park.,Everyone came to the meeting about it.,The parents were concerned.,The kids were excited.,The kids convinced them to make it.
cb2022c5-f9dd-4870-a382-5f2d16f1a238,Bad Neighbor.,My Neighbor plays his music very loud.,I have asked him to please turn it down many times.,One Sunday evening I put speakers in my window.,I then blasted opera for two hours.,He has not played his music loud since then.
bbf14b44-4ce4-4061-9dc5-e306433c1a10,Alternative spring break,Kelsi decided to volunteer during break instead of party.,She decided to help out at a homeless shelter in the city.,As soon as she got there she felt emotional.,She felt badly for the tenants.,At the end of the session she felt very bonded.
0d8e1663-a47b-4e56-beaf-bf736aa801a1,cards,Fred loves to play crazy eights.,He tried to start a crazy 8s club in his school.,Not many people knew of the game though.,He wasn't able to get enough signatures to start it.,He gave up and couldn't start the club.
a1a4f211-db35-4170-97fa-363cafc9dcd3,Fencing,Sam had practiced hard all season.,The big championship meet was coming up.,He took a deep breath and face his opponent.,"After a close match, Sam came out victorious.",He shouted with joy.
d7975e40-91b1-46d6-b18d-b1eeb1a0a2fe,A New Sofa,Mary and her husband needed a new sofa.,Their old one had finally given out.,They went to the furniture store to look at sofas.,They found one they liked and bought it.,Mary and her husband brought it back to the house and really liked it.
93c3087f-e0b1-4c86-9d2a-06729fb01c61,Strength Training,Tim wanted to be a professional bodybuilder.,He joined his local gym and lifted heavy.,He bought muscle building supplements.,Tim went to a bodybuilding competition.,He got the first place prize.
6cb14227-208d-47cf-95c4-9a6a78303a56,The Sunshine,Kaiser loved the sunshine so much he never wanted it to rain.,One day he woke up and it was raining so he cried.,His mother explained that the grass and flowers need the rain to grow.,The next day the sun was shining and Kaiser admired the flowers.,Now he  understood why we need both the sun and the rain.
b0b99bc2-5683-4b37-bcc6-b0a499cb72d3,Accident,I was driving to the store one day when the road was jammed.,I was very frustrated that traffic was so slow.,When I got further up I saw the accident and was very upset.,I drove past the accident and made it to the store.,On the way home I thought about it while driving.
4fc0f214-95e0-47d5-a935-8ec807473c15,Training the dog,Fred bought a new puppy last week.,But unfortunately he had to train it.,Training the puppy was rather difficult.,So he took it into a specialized center.,A week at the center and the puppy knew everything.
d7a6111b-ed11-4d1c-a3c5-98ea602712c4,Procrastination,"Felix's teacher assigned an important book report, due in 3 weeks.","His friends got started on their assignments, but Felix did not.","He thought he had lots of time, and didn't start until the day before.","But when he went to the library, he saw it was closed for cleaning.","Felix failed his class, and learned his lesson about procrastination."
4186e525-e7db-4747-ae0b-2ece36e54f44,Working Online,Brad needed to make some extra money so he began working online.,He did various jobs until he found one that he really loved.,This job allowed him to work from home and care for his family.,He appreciated the flexibility and the extra time with his children.,Brad hopes to make enough money to take a family vacation soon.
b425930e-fcee-474c-98f2-522b2608d48a,Bea in the Lobby,My sister-in-law Bea rarely goes out into the lobby.,She drives her car into the garage and goes home.,Today we were shocked.,Bea was in the lobby.,She was waiting for a friend.
b8e0150f-e27f-4991-a1ac-5097701623fb,Afraid of flying,Nina didn't like to fly at all.,She was very afraid and didn't like the turbulence.,"As she had to fly often for work, she took pills to sleep.","But one day, she forgot her pills and stayed awake during the flight.",She was happy to see the sunset and learned to like flying.
e4aebb4c-dcba-4d9a-b54b-00c72b224914,Perfect Grade,Tom studied really hard for a test.,He thought he got a perfect grade.,When he got the assignment back it was much lower.,Tom argued with his teacher over it.,Unfortunately the grade wasn't changed.
2a841471-b959-4b46-9165-5b3cdc0c67a2,Broken Leg,Jim was at the park playing with his friends.,He decided to show off and run down one of the slides.,"As he was going down the slide, he slipped and fell.",He landed on his leg in a weird spot and broke it.,Jim decided that showing off was not worth it anymore.
13701440-fca7-4b94-a07b-3aac3487a751,Puppy Friends,Marley's friend came over and brought her new puppy.,Marley's dog wasn't happy about this.,He loves to have attention.,He doesn't like to share.,"But in the end, the two pups became friends."
87052bce-9c92-4568-a1c7-c4280870a603,Getting a Ride to School,Sally had to walk to school everyday.,Even in the snow!,But one day her mom told her that she would give her a ride.,Sally was so happy because it was snowing outside.,School was much better without having to walk.
86195e7a-d82b-4765-a55d-48be92f09ad2,Late for Work,Cindy awoke in panic when she realized that she was late for work.,She hopped into the shower with her toothbrush.,"When she was finished with cleaning, she put her clothes on.",Cindy grabbed her keys and some toast and she headed out the door.,She dialed the manager and let him know that she was on her way.
dd0538ff-d374-4e0b-9f8a-27e0df90dcca,Founder Flounder,Suzie loved to eat flounder.,Her uncle was a fisherman.,Suzie was invited to see how flounder were caught.,"While experiencing flounder fishing, Suzie was stung by a stingray.",Now Suzie loves scallops as well as flounder.
4af9ce34-d20c-4ccd-9741-bdc879087a32,Dan scores a basket.,Today was the first time Dan had ever gotten to play in a game.,"He was on the school basketball team, but he was not very good.","However, today he had been given his chance!","With only 30 seconds left in the game, Dan had the ball in his hands.","He threw up a shot, and unbelievably, it went in!"
fe73fd82-c108-4e68-83b2-25d70d048f8b,Bills big idea,Bill was going to win the science project,He just needed a great idea,He sat for hours and hours,Finally it came to him!,He was going to build a talking robot!
3e7067ec-7137-4ba7-b26b-2e5823aab229,Bob Takes Martha To Prom,Bob like Martha.,Bob planned to ask Martha out for prom.,Bob bought Martha flowers and wrote her a letter.,Martha was delighted to go to prom with Bob.,The two went to prom and had a great time.
472448b8-c30e-4a46-b597-0c41821ede6a,Wet Car,Kay's driver door window was stuck down on her car.,As she sat at her desk it began to rain hard.,All Kay could think about was the open window on her car.,When she got off work the rain had stopped.,Kim's seat was so soaked she had to sit on her jacket driving home.
c961cec8-56ae-45f6-a34c-823156d9bd69,Camping Trip,The Hubbell family went on a camping trip together.,They all decided to sleep in the same tent.,Jeff had a hard time sleeping because of his dad's snoring.,He put his headphones in and cranked the music up loud.,It took a while but eventually Jeff fell asleep listening to music.
1242497e-5c33-436e-b8d0-a31454135940,No New Shoes,Dom loved sneakers.,He had every pair of Jordan's that existed.,The new edition was coming out the next morning.,Dom waited in line for 12 hours.,When he got to the counter the salesman said they ran out.
4c445bd9-152a-4f3c-a487-78acb51fe7d1,New Puppy,Marco really wanted a new puppy.,"He asked his mom and dad for one, and they said yes!",They all went to the adoption center to choose a dog.,"There, a husky licked Marco's face and loved to play with the ball!",They took the husky home and named him Albert.
456a867d-80ea-4d00-a797-3297017a0290,The Puppy,Elizabeth wanted a puppy.,Her daddy took her to the animal shelter to look.,There were all kinds to choose from.,"She looked in the last cage, and in the corner was a small black puppy","Elizabeth picked it up and it was instant love, and home they went."
cd2a896b-838e-4e39-996c-687538da64d5,Your Passport Is Expired,Today me and my wife were supposed to go to Italy for five days.,Except we were turned away at the airport before we could leave.,The woman at the counter refused my passport.,She says because it only has a month left on it.,The trip we were supposed to take was only five days.
5ede71bb-e977-4d6e-b2ee-ad3d78abc5e9,Sorry Charlie,Chuck was the funniest kid in his school.,He spent all his spare time pranking his classmates and teachers.,One day they decided to prank him back.,The next day Chuck arrived to an empty building with a note attached.,"Classes cancelled, sorry Charlie!"
0d3891d8-173e-48d5-b897-c081c2c3c21a,The SUV,Shane was car shopping.,He fell in love with a fancy SUV.,He cashed in some stock to buy it.,His interest rate was very high.,Shane didn't care how dumb it was.
d89f747e-dc96-4e73-bfec-65cfcfa01564,The Cake Cook Off,Sally thought was the best baker in her family.,"She challenged her sister, Trina, to make the best pound cake.",Sally had her cake in the oven before Trina finished mixing hers.,Sally realized  she forgot to add her flavorings to the cake batter.,"Because she had taken her time, Trina's cake won the contest."
e07bfb95-4818-4076-b2de-90e2344cc808,Boost of Confidence,Jeff came into class angry from his car accident.,"However, his teacher handed his test from last week.","Since he passed the exam, he was completely happy.",He couldn't stop talking about it to his friends.,His family also heard of it.
